text,toxic
adorava que a puta da maria vivas me respondesse,1
kkk não porra essa mulher de outro mundo na boa,0
os meus loarei so mas acho que mais liberdade ia me fazer confuso kkk com que vocês chegam a casa depois das number da noite quando que vocês jantam ? ? ?,0
o que eu tenho de feio tenho de engradado .,0
"as vezes de vontade sabe , mas já aceitei que não vai acontece kkk",0
"eu tava muito linda ontem , puta que pariu",1
"retweeet que babaca arrogante , acha que a ultima palavra do direito , vander .",1
bolsonaro sorrisinho .,0
ele queria nudez da alma mas eu sim tinha foto do pau,1
estou morrendo de saudades,0
pena de morte já para esses lixos assassinos confessos ! gastar dinheiro com gente como essas a sim desperdício de quem paga a conta ! no existe direitos humanos para pessoas assim e eu no sou homofóbico porra !,1
sim queria no pensar em muita coisa .,0
porra cheguei de sv na merda fi kkk,1
"retweeet se eu tivesse amigos assim , eu já teria pegado todos kkk hashtag hashtag",0
heri vegetariano outro patamar,0
saudades do nosso amigo seedorf,0
"realmente . pensar eu o que eles disseram dos professores , na sade , nos transportes públicos , da governo , etc , agora numa greve entre privados , nem tocar . já no tenho idade , mas aqui vai . . pro caralho .",1
"fico puta quando vejo essas coisas , moral",1
um cara que em number anos no fez nada de relevante no vai dar jeito no pás nunca,0
te errada no,0
meu deus at o richard .,0
poxa queria engolir o pau do jungkook inteirinho,1
"azul linhas áreas meu amigo , no precisamos patrocínio gringo , precisamos de alguém que valorize nosso clube e nosso pás .",0
"nunca fiquei to triste na vida , puta que pariu , emocionada demais , tenho que acostumar a esperar tudo ! ! !",0
"retweeet poxa já acordo me estressando , vá se foder",0
eu odeio as ligames da vivo puta que pariu que perturba,1
te sentindo uma saudade do caralho de você,0
tem que limpar toda essa merda .,0
"pra mim te claro que ele no foi dar essa caneta , no sei pra vocês",0
dylan mendes é homofóbico porque já deixou claro que no é gay cancelem essa aberra,1
bolsonaro se vingou da globo ? ? ? ? essa folha de so paulo um lixo mesmo !,1
sim porque nasci feio,0
"a caralho , que gato",0
"lula te preso , babaca !",1
"lol , se calhar eu que tenho que me acalmar antes de responder . ;) mas o que disse nem to fora . não difícil encontrar pessoas para quem mesmo assim que tem de ser . e por isso que eu passo a ferro desde tímida e muitas amigos da minha idade não sabem ou aprenderam para a aos number .",0
"por isso foi esculachado pelo , esse neto escroto sem crebro .",1
"mano , eu amo sair com quem não tem frescura , não fica de cara feia , e super fecha comigo , a karen e a bia so dessas",0
retweeet essa tag est sempre atual ! hashtag,0
eita caralho não moss kkk,1
"na ucrânia as autoridades desrespeitaram as instituais e a liturgia dos cargos , esqueceram que todo poder emana do povo , que apenas exercem o poder por outorga do povo , e por tempo limitado . resultado : o povo colocou os pingos nos are . lata do lixo , literalmente .",0
meu deus ? ? ? ? ? fico espantado que parece que os jornalista no fazem o mínimo,1
ela disse que eu no valho nada por isso que essa noite ela vem foder comigo,1
"desgoverno da alegrei , esconde dados ! . estamos sendo enganados e roubados de todos lados e agora a certeza que esses covardes vou manipular dados para apresenta-o da falsa realmente . at o presente mostrar o contrario a alegrei visível do pás . ! . hashtag",1
porra lua para de decifrar meus asterisco,1
"gente agora serio , porque sim comigo que no acontece de eu gostar da pessoa pra caralho e ela gostar de mim pra caralho ? ? ? ? o que eu tenho de errado vsfddd",1
""" aquecimento global uma mentira ! "" estudo a base de youtube no te faz sábio , te faz ser um ignorante de merda mesmo ! vai estudar uma porra de uma biologia e física",1
juma pica,0
no aguento mais essas gringas me colocando em grupo de puta no instagram gente,1
retweeet preocupa-o do caralho com a minha vida vou mandar um boleto pra tu pagar visse,0
"hoje o dia est lindo , perfeito para levar um tiro e - - parei",0
retweeet e nesse tempo ganhou uma copa do brasil e dois campeonatos brasileiros,0
"as pessoas falando que te escutando funk sim pra ver a nádegas das meninas kkk , vocês já me respeitaram mais",0
retweeet puta que pariu anitta ? ? ? garota ? ? ? ? socorro,0
chama na gloria,0
"ar $ number , number cada | hashtag ideal para quem busca conforto na leitura da hashtag e , ao mesmo tempo , praticidade no uso e transporte diários . valido por tempo limitado !",0
"indignante cobrar o que deve ser espontâneo , mas na esperança de mudar algo e a pessoa simplesmente te dar valor quando na verdade pura perda de tempo e no fim sabemos que isso no vai mudar nunca at seguir o baile e aparecer algum que faca o que o outro no faz",1
"retweeet maldita a boca que me julga , sendo pior que eu .",0
retweeet kkk o melhor que nos tem kk,0
"te com uma puta saudades do meu filho , mas estou com muita preguiço de ir para catarina",1
o que vagabundo ? tu está em rede social filha da puta . falou tem resposta . seu pau no cu,1
kkk que otário tomo um pau,1
retweeet que saco eu odeio bater neurose com bagulho nada a ver mas ai fico uretano destapado vai tomar no cu,1
abençoado seja freezer russel .,0
a recupera-o de português .,0
retweeet meta : number votos nessa foto e cinquenta comentários com a tag . vamos ? artista internacional favorito hashtag hashtag tops :/ /,0
olhem esse levantamento da roberta puta que pariu que obra de arte,0
"retweeet pior coisa de fazer aniversario em agosto essa porra desse frio , no da nem pra pegar uma reá de lazer porque te esse frio",0
deixa o péricles em paz filho da puta,1
retweeet entendeu,0
"da pra acreditar nisso mano , ninguém liga pra nada nessa porra . fonte : brasil de fato",1
"man , ver o nego dando uns murro nele muito satisfatório . ( no sou a favor da violência , mas puta que pariu tem casos que so necessários )",1
"eu acho que sua desvelando no deveria ser com o at porque claro para todos como a milícia virtual do governo existe e muitas vezes os discursos , no mínimo , compartilham o mesmo modus operando do governo . at quando ela vai agir para manipular a opinião popular ?",0
"no fiz o gol , mais dei assistência pra um gol que foi o nico , e tomamos a virada pra 3x1 , fico puto quando perdemos por bangui besta , puta que pariu",1
"se fumar , no carica kkk toma trouxa",0
voltei pras puta,0
"o por meio do ministro da infraestrutura recebeu hoje o secretario de comercio dos estados unidos , wilbur ross . durante a reunido , o ministro apresentou os principais projetos para / investimentos privados em rodovias , ferrovias , portos e aeroportos .",0
"ninguém lembra desse cara , sim do alam mesmo",0
"o mal do jovem se achar muito e no ser porra nenhuma . viver de status e aparência to superficial . cada um com seu cada um não , sem julgamentos .",0
puta que pariu perdi o jogo de velei hoje,0
"treinador do amarica admite : "" difícil contar com uribe para o jogo de amanha """,0
quando o mar vier tarar nas aguas uma mulher ela vem como quem no quer nada alam de algum que lhe trate bem,0
joga no lixo,0
retweeet toma no cu te aqui nessa bosta queria mesmo te jogando no so paulo,1
"ai caralho , está chovendo ?",0
te afim de fazer um logotipo sim de foto feia,1
"k-army no contam comigo pra nada ! puta que pariu , vou ser mimadas assim no inferno oh caralho",1
auge do dia eu ter que me manter ocupada porque se eu ficar sem o que fazer vou ficar mal pensando em como sou um lixo pra pessoa mais importante pra mim e no me toquei,0
queria saber disfarçar a cara de cu,1
sim falta a mara se apresentar,0
quanto de cu tu colocou ai ?,1
continua sendo fofo so que tu a an,0
libera a cocaína então meu caralho alado,1
retweeet eu amo ser solteira vá se foder,0
fado quesito de ver de novo o vídeo original . bento vou dizer tudo que foi manipulado nesse vídeo de jaguar,0
virar vagabundo jamais,1
porque você foda pra caralho,0
"number dia da number jornada carioca de cirurgia plásticas - baker gordon symposiun , em breve contendo inédito e todas as novidades do evento . instituição _ rj hashtag hashtag hashtag",0
te vendo a hora eu taca fogo nessas burguesa do caralho,1
puta que pariu meu corão,0
pior que eu sonhei uns dias antes que tirava uma nota ex no inglês e eu incrivelmente tirei ela kkk puta que pariu,1
"jesus , deve ser uma síndrome sem cura ser petista ! ! haja burrice , intolerância , ignorância entre outros adjetivos ! ! !",1
usa a técnica da garrafinha gelada do lado da cama kkk porem vai ter efeitos colaterais . vai ter que levantar pra ir no banheiro kkk,0
ai você está de boa na rua e passa uma pessoa carregando isso hashtag hashtag hashtag hashtag,0
dudu pop e suas boçalidades . babaca .,1
"alem de todo mundo que tem filho pequeno e ver o ' ' sérvio maravilhoso ' ' que ele presta junto com seu firmo , eles so os principais responsáveis pela disseminado da idiotice e da falta de contendo no atar , claro que o algoritmo um lixo , mas esses dois meu deus do cu .",1
retweeet ou vai tomar no cu,1
tem de parar com esse povinho que insiste em entrevistar esse bandido condenado .,1
"ela , capital marvel e doutor estranho acabariam com ele , porem tem que deixar o capito amarica e o homem de ferro seres os protagonistas , obvio não kkk",0
jack te passando mal velho,0
vamos ver na justiça quem verme e aberra ok já tenho os fotos dos seus xingamentos,1
"o number ano foi o melhor sem duvidas ! ! ! ! ! fiquei amiga da pessoa que eu jamais acharia que me aproximaria , e puta merda a gente vivia juntas",0
"e eu que passei uns number meses pegando a identidade pra olhar , quando entrei na faculdade o povo puto comigo porque no liberava a catraca logo",0
eu quero também ! a esquerda est maluca .,0
depois dessa eu sim tenho a dizer . caralho neguinho essa foi de fode kkk beijos,1
"sony querendo um pouco mais de number milhes de reais em luvas , pra renovar com fluminense kkk te viajando esse cara , deve está querendo ralar já",0
putinha aguenta number,1
"puta que pariu , já tem material de farmacologia no descomplica eu to realmente pirando",0
alface : aberra,1
kkk eu amo esse viado mano,0
malicia na cara ela joga na cara o jeito que balanga esse lana bom demais,1
da hora que to foda e mind boeing que nem funciona como boiler caso algum reclame de to eita porra joça . e nessa fase da serie tudo assim ! hahahahaha eu amo .,0
"se esses vermes da suprema corte brasileira no fizessem tanta merda e tirassem tanto vagabundo da cadeia e essa mordomia desvairada tem que acabar , e no quer ser assunto eles tem que sair de la urgente .",1
queria amigos que me chamassem para rolas,0
retweeet já estou farta de ser amiga de toda gente sim levar facadas nas costas,0
"retweeet psicopata ! ! ! ! . bolsonaro est envolvido por pessoas perigosas , isso tem de mudar ! ! ! ! . bohr espalhar ! ! ? .",1
"mata ele , a no tem como pensar mais em voltar",0
puta que pariu clica do caralho,1
"meu pai acabou de me foder , olha . sinceramente , está foda !",0
vá se foder vocês aí,1
eu vi na televisão que quem muito praticava ( ) era mais saudável eu fiquei acho que eu sou doente bento,0
"pra quem no sabe quando um gato faz isso ele coloca as garras pra fora e di pra cacete , imagina num neném que tem a pele super sensível",0
"cara , eu to mega iludida mas porra o so paulo no sei o que acontece sabe . estamos com um puta time , tem capacidade porque estamos disputando apenas o brasileiros foca nessa porra que o titulo vem",1
retweeet quando você no cuida da vida dos outros você mais feliz .,0
como você acha que o gabara / / como ele realmente,1
"ele no apoiava o abel , apenas defendia a permanência do abel ? mas , que porra você quis dizer ? você no entende que defender a permanência do abel , seja qual for a justificativa , defender o próprio abel ? você já se esqueceu do que o abel fez no comando ? cego ? surdo ?",1
tu e minha porra vai se foder sou de ninguém no,1
"so tenho number contatos no whatsappp , que fase puta que pariu",1
caralho porra conseguimos . porra vai bras8l . porra . boceta caralho uhuuwusuauzhqjzhqudhajai ah,1
- ele também de bastante conselhos para os seguidores no twitter ( as vezes desabafa ) mas na maioria das vezes posta coisas que a gente precisa ouvir .,0
brota que hoje vai rola na aquele pique,0
"boa bolsonaro ! mostra pra essa cambada quem que manda ! podem ficar de drama , nunca meu voto foi to recompensado ! ! quem no gostou , sim chorar",1
"trabalhar que bom , nada não ?",0
"machismo um vírus do qual , por hereditariedade , o homem vira hospedeiro mental . muitos manifestam sintomas , e existe quem desenvolva a doença total , a qual , para a mulher , pode ser letal . preciso combater esse mal , o que requer rigor , mas sem necessariamente destruir o vetor !",0
retweeet o que te chama atendo fisicamente em um homem ? ser feio,0
pequizeiro ( to ) .,0
posso dormir na sua casa nação ?,0
essa porra de xilocaína no serve para porra nenhuma vai tomar no cu capitalismo,1
"vagabunda , te amo , te considero firmo puta",1
"ah sim , coitadinho do e dia hackers não no ? lo armando para as pobres vitimas !",1
merendeiras da rede municipal de ensino de mafra receberam formão em boas praticas de manipula-o de alimentos visite : ( link : ),0
kkk deus tarda mas não falha,0
vai a merda piranha gravida,1
"jim at mostra a bunda para já , mas sim na brochagem mesmo",1
"no sei como as pessoas não gostam tanto de velei e handball igual gostam de futebol , os nossos times tanto feminino quanto masculino so do caralho",0
"retweeet se eu fizer um vídeos desse de novo , vocês iriam querer participar ?",0
te at vendo que esse tempinho vai me foder .,1
"ser me maior responsa da porra . educar e ensinar valores , proteger sem querer colocar num potin , mais que postar foto com legenda "" mame ama "" ou stories de rol . exige demais , saber que responsa sua o que vai ensinar e deixar de fazer também .",1
la casa de papel vicia mesmo rs,0
"denise pires , reitora da afro , diz que a universidade corre risco de parar caso no receba a verba do mec para custeio de sérvios como correição e limpeza . enquanto isso , o ministro da educa-o est muito preocupado em chamar paulo freire de feio . prioridades , não ?",0
claro que sim ! paulinha na fax,0
tomar no cu ninguém quer,1
o bolso depois da facada,0
filho de monte gordo . hashtag,0
eu nessa primeira semana de aula sabendo que vou ter que dividir meu tempo entre estudar e votar pra caralho hashtag hashtag hashtag,1
retweeet eu olho pra essas coisas e penso : deus criou o homem cis a partir de qual cu,1
minha blusa transparente está na casa da minha iram desde o carnaval passado e eu achando que tinha perdido kkk,0
"retweeet mano , és sim estúpido se nem a merda de um ovo sabes partir wtf",1
pior nem é isso . pior é adiar esse jogo e no adiar a rodada quando for data fifa . isso que é incoerência .,0
retweeet uma sexta muito louca ( porque te tudo dando errado ),0
firmo que gosto lixo,1
"bolsonaro usa as medias sociais como meio de controlar a media . todas as grandes redes de noticias acreditam que controlam o ciclo de noticias , mas , na realidade , bolsonaro as controla através das medias sociais .",0
ai firmo zero vontade de ir pro colégio hoje puta que pariu,0
no dia que minha filha completa number mas,0
senhor me de paciência porque se me der fora eu mato a minha iram,0
na moral vai tomar no cu velho,1
dobrava todas essas apinha,1
eu nunca corri tanto no baile que nem ontem kkk puta que pariu,0
falecimento da senhora de isaltina marques pinto de almeida - ( number anos ) vir amanha domingo para a igreja de este .,0
o que falar da exonera-o do ricardo galvão . foda . quando a gente acha que no tem mais como piorar o governo federal vai la e faz a number merda do ano,1
"nossa ela sexy de + , mano no deve ser humana isso no",0
retweeet te de sacanagem que mandaram ele se entregar não ? ? ? ? era pra ter matado filho da puta desse,1
a dodói kkk,0
meus sentimentos ! !,0
meus dois estados de espíritos,0
os cara to puto que o povo te jogando o jogo deles cu quem tiver a vantagem que a leve,0
"caneleiro e elias , puta que pariu , no acertavam uma jogada .",0
"meu deus , que homem",0
kkk ! você um comediante mesmo !,0
o surto que foi nesse dia porque o soo tava gostoso pra caralho,1
se fizer bem feito eles entregam at a me .,0
"vou pechar a lenda do bane e vamos da um role diferenciado , hoje pode hoje sexta feira aiai",0
"ai outra hora eu fado uma header bem boazinha porque o suga merece , no momento to com preguiça",0
retweeet nosso porra quico foi sofrido chupa,1
kkk erada,1
"seu guarda eu sou vagabunda , eu sou delinquente e principalmente uma mina carente !",0
"kkk eu ate sei quem , retardada",1
"viva a vida enquanto você esta vivo , porque depois que você morrer , não vivera mais",0
retweeet eu quero distancia desse povo pau no com,1
porra é isso ! ! !,1
"eu odeio , odeio quando minha me fica pedindo da minha ex , puta que pariu essa mulher no esquece ela mds",0
falta pouco pra eu surtar,0
"caralho . tu burro mesmo . tinha number times na serie bom de number . tu queria que subissem number ? ? a regra foi mudada antes do campeonato começar , antes mesmo do grêmio saber em que poio ele iria ficar , tudo porque eram times demais e tinham que subir mais do que number",0
se eu fizesse uma tatuagem assim meu av congelaria,0
"caralho que merda , no fui a semana inteira pra escola quando vou deixo o oxigênio la kkk sim acontece comigo",1
"apenas se beneficiando de um furto , uma ova . conivente , se no for o patrocinador e mandante do furto , com o agravante de que receptador confesso e , receptador criminoso . recepto de cadeia .",0
queria hashtag hashtag hashtag hashtag,0
amanha vai ter festa candela aqui na rua da minha casa,0
apaixonada com esse lugar,0
frio pra cacete e eu tenho que sair de tarde ainda bem que vou de uber e rápido,0
uma hora tomo vergonha na cara,0
a fobia no serve nem pra limpar o com .,0
leila e brait voltando caralho . meu tri te vivo porra vamos caralho vamos hashtag,0
vai trabalhar vagabundo !,1
"tem que ter estomago para comentar essa atrocidade , essa dupla de lixo , vou pagar com a vida na cadeia , os presos faram o sérvio .",1
"no aniversario de number anos do clássico feminista "" o segundo sexo "" , de simone de beauvoir , duas das vozes mais originais do debate sobre gênero , paul bom . apreciado e virginia descentes , comentam o legado da filosofa francesa na serrote number",0
momento puta que pariu da semana !,0
meninas jogaram muita puta que pariu,0
te to difícil,0
eu nunca mais vou beber tanto igual ontem puta que pariu que raiva,0
"pai do cu , livrai-nos do mural ! ! ! !",0
eu sou muito fodida caralho,0
que luta se maquiar no carro puta que pariu,0
"breno sempre copia meu capito no cartola , namoro toxico do caralho",1
"number . e o mais triste , pra minha tia que finalmente entendeu o conceito de milhas , tava toda feliz que a passear mais barateza então no queria largar amor mas porra fortalece porque mds",0
gente puta que pariu hoje eu descobri que as notificantes tem o boto de ver mais,0
5hrinhas ausente e tudo vai pra puta que pariu,1
"achei que isto no tinha nada a ver com apolítica e sim com a verdade , hahahahah coloca o putin , maduro , fica aparelho empar o parte quer revanchismo . ns somos mais inteligente abre paga a família dos militares que foram vitimas . de igual para igual . ponto vira a epígina .",0
"minha me te puta comigo porque dormi fora de casa se avisar nada virei pra ela e falei "" morde as costas comedia , se deus por ns quem for contra te fodido "" kkk",1
"eu amo muito meus amigos , isso",0
"melhor noticia de hoje foi que exo-sc ganhou seu primeiro win mesmo com toda a tentativa falha de boicote da parte de "" fá "" . o que eu digo acima do exo sim o exo os refrescos so timos kkk",0
"retweeet me se eu no quero me meter na relado , mas no vale a pena dar moral pra vacilo",0
a pior coisa se despedir de quem ainda est vivo,0
"retweeet pergunta idiota . claro que estamos com moro , silas e a lava-jato e o senhor de que lado est ? ? ? ?",1
talvez no seja sangue e sim porra ( fica a reflexo ),1
quer meda a boceta sim por que to de pistola,1
vídeos que eu amo assistir na internet : racistas apanhando feio em qualquer régio do planeta,1
era sim o que me faltava agora as mame tem que ficar monitorador relacionamento de filho burro velho,1
sim no to entendo esse tanto de curtida nesse twitter indignante dela,1
"vergonha de todo lado meu amigo , essa imprensa erada , como se no bastasse , vem esse idiota da aba",1
agonia do caralho kkk,1
message to : number . no tenho number . um kk beijos number . espero que você me faca bem number . amo vocês number . oi me conta vai que rola algo number . me beija number . te amo number . vai se foder seu corno number . linda te amo number . tchau drop an emoji for the questionas !,1
"flame moito para chegar a ter galegos , pero as histórias que iran arredor desta temática introduções reflexiones e inquedanzas sobre as limitações da esfera domestica , a metamorfose do corpo e o cambio nas relacionas interpessoais ( + )",0
grande dia . menos um pra ficar divo números e atrapalhando o desenvolvinento do pás,0
"sim . mal mas jogou . a poio dele lateral direita . la que faz bem , e la que se destacou . acho um imbecilidade o clube focar suas duas maiores e inéditas contratas em uma sim poio . isis idiota em tantos neveis que nem cabe aqui",0
retweeet essa porra no varapau pra você falar pra qualquer um !,1
retweeet foda que ela linda e eu apenas sulista danando brega funk,0
"o objetivo desse texto no mudar a opinião formada sobre mim de ninguém , e sim deixar claro que eu no sou satisfeito com quem eu sou , mas prometo me esforçar bastante pra melhorar . obrigado pela atendo , espero ter ajudado algum em conflito interno com isso .",0
kakakaka puta que pariu,1
um proverbio japonas afirma que o ser humano possui number faces . a primeira aquela que mostramos para o mundo . a segunda aquela que mostramos para os amigos e família . a terceira no mostramos a ninguém . o verdadeiro reflexo de quem somos . concorda ?,0
para um idiota que conta os dias para eleger o ciro ! to no lucro,1
kkk ah puta que pariu mesmo te de sacanagem,0
isto est aborrecido para caralho,0
"boa vagabundo , ou good vagabunda como tu diz na inglaterra lo <3",1
arrumar conta coisa de bitola !,1
o hacker no apareceu no starbucks e agora no vir mesmo . hashtag,0
"na moral , sol a semana toda , a chega na minha folga o tempo fica esse cu , a que ódio",1
você sabe se existe diferença entre um relatório financeiro do licitações e um inquérito policial ? parece que no,0
"sim reclama , vai se foder",1
"eu to puto , porque no era nem para ter sido preso",0
"a gente tenta ser de boa mas no de sabe quando tu vai emprestar algo tu empresta na maior boa vontade , a quando chega na hora da pessoa te devolver , meu deus não , um empenho tomar no cu",1
retweeet vai me beijar quando filha da puta,1
bento agora no pode mais gostar de raa negra porque é moda ? que vocês sabem os gostos musicais de todo mundo não . vou toma no cu,1
queria foder com desse jeito hashtag,1
vai comer o bebe também ?,1
célula faz da casa lugar de vida,0
ganhamos porra isso aqui brasil rumo a tório,0
seu jeito exagerado que eu gostava,0
"estou fabiano . integridade , caráter , honra , ética e dignidade ou se tem ou não se tem . nada capaz de mudar . e nosso capitão bolsonaro ficou em meio a corja ladra por quase number anos em sampa . e não se corrompeu .",1
eu que sofro por ser feia assim amo meu namorado mesmo,0
retweeet eu te chorando,0
retweeet tenho amigo fedi no puta que pariu,0
retweeet [ number number ] : se ela no fosse to feia e você to bonita eu ia dizer que so parecidas,1
que jornalismo bizarro esse da globo . que mátria erada essa do gato agora no jornal hoje .,1
"ele estava no auge da depressor quando comeu a tinta amarela , isso no trouxe nenhuma felicidade para ele . alam de que o cara realmente era louco , ele cortou a própria orelha . van goga realmente era doente , louco . tapa na cara o karalho vai estudar antes de falar merda .",1
"abarrotado bom ) os banheiros tava com uma fila horrível com ) a gente fez uma contagem de cerveja com um publico ex ( que acabou também e tivemos que buscar mais ) . se deixar ex entrar , ary vai querer também , e depois aza e etc e a galera tava puta , tinha gente que tava gritando com a gente",1
retweeet poxa sempre bom olhar a traduzo da tag antes de soltar uma gafe dessas,0
bom dia flor do dia,0
"não sei se são os traidores , mas que eles tararam a ajude eles tararam , então em parte eu estou certa",0
a ti que te parece ?,0
teu cu,1
est comprovadissimo que o carioca da gema no sente frio te fazendo number e eu estou com number casacos,0
retweeet mano sla parece que a vida de todo mundo mudou muito e muito rápido também e eu fiquei parada no tempo ? ? ?,0
"provavelmente o próprio pai dele sai disseminando dio por ai e ensinando o filho os mesmo passos , que tristeza",1
retweeet queria hit assim com meus desenhos também porá sigam meu insta de artista favor caralho tops,1
"caralho mano , tanta hora pra vir cliente e vem na hora que chego , ou na hora que te fazendo algo importante tmnc",1
retweeet torpedo russo na red burro pra ontem,1
"bento quer dizer que o bolsonaro no bem vindo bahia , bem vindo mesmo o governador , a popular sabe o que tem .",0
"sai da retardada ! isso uma ofensa ao povo brasileiro que votou em bolsonaro , ele foi eleito pela maioria , e foi uma vitoria esmagadora em cima de vocês ! erada ! aceite que di menos , já te feio isso . demência !",1
retweeet quando vejo a bunda dela dando bobeira,1
novas,0
"quando tua me te puta com tu , ela chama teu nome completo ou no ? hashtag hashtag hashtag",0
"eu fico sorrindo boba pra esse video , no aguento",1
"a velho puta que pariu quando eu acho que para de aparecer a * * * * * * no meu feed , ela ressurge das cinzas eu não aguento mais ver essa roto de pessoa na minha timeline ela um lixo e vocês fica ai lambendo o cu dela porra meu deus",1
kkk eu to puta,1
retweeet você ver a vaca ir pro brejo quando a torcida grita eu acredito . hashtag,0
que enjoo puta que pariu,1
"técnico frouxo , fraco , fodido . mesmo com esse time de merda do vitoria , dava pra ter voltado com number pontos . culpa de computador que inventou esse loss como treinador de futebol",1
"sapato foda , no pode beber que vai atrás das ex eu hein",1
"tenho um novo filme preferido , puta que pariu eu nunca chorei tanto num filme",1
o vernon lendo a carta da me do sengue porque o sengue está chorando demais pra ler mas a o benin come-a a chorar também vai se foder,1
"medalhista não kkk tem mais experiência porem eu gostei dessa mudança , o roberto saturava muito a roberto e sempre que a macros entrava dava mais ritmo no jogo e agora macros titular e sim sucesso",0
briga feia so dois doutores em edito ! ! ! como saber ! ! !,0
vai te foder meu amigo,1
acha bonito ser feio,0
"retweeet cacete mano , quando que vou ter alguém em",0
"acordei 1hr e ainda estou com sono , puta que pariu",1
"eu tenho que entrar no appplication do meu banco pra ver se meu carto novo chegou , mas quem disse que tenho coragem , la eu vou ver quanto eu to devendo no banco . e quero evitar",0
meu firmo pra mim : iram oque o boi apaixonado disse pra vaca ? ? . ai eu : no sei o que ? ? . - te a-muuu . kkk esse guri e demais,0
"ricardo : nossa nem te reconheci , te to diferente do que o casamento meu pai : essa a realidade de todos os dias , sim susto né ? gente , ele não pode perde a oportunidade de me humilhar puta que pariu",0
caralho vai rolar muito hoje vá se foder,1
qual o maior período de tempo que você já ficou acordada ? talvez number horas ? ? ?,0
que isso agora que parei para pensar que esse pode ser meu ultimo fim de semana com meu carro,0
"insuficiente o caralho , eu sou incrível , lindo e gostoso",1
eu fico estressada vendo o quanto o governo bolsonaro burro,1
"mas a ele foi : moderno , ousado e viado ! ! !",1
pensa alguém bota o pinto ai que loco,1
finalmente caralho,1
"sim vezes queremos que deus mude as coisas e resolva nossos problemas , mas no queremos conversar com ele sobre , achamos que deus tem que fazer simplesmente porque pai e sabe da nossa necessidade . deus quer que nos relacionamos com ele , nos cheguemos , ele sente saudade .",0
sai cristo filho da puta,1
retweeet passei de manha e ele ainda estava la kkk puta que pariu,0
te um friozinho de puta gostoso,1
aí porra,1
tenha uma chefa que te mande figurinhas do lula fazendo corão com as mós,0
number reais de frete ? eu vou pegar andando essa porra kkk,0
"coitado desse gringo criminoso , vai ficar esperando criminoso maldito , que o silas vai ser afastado , você e o covil de criminosos que est no senado que vai pagar pelos crimes cometidos , ninguém est acima da lei criminoso dos infernos .",1
